Type,Market,Open Time,Close Time,Units,Margin Used,Open Price,Close Price,Spread,Profit,Balance
BUY,EURUSD,2018-01-04 14:00,2018-01-04 15:00,40000.0,800.0,1.2062899999999999,1.20814,0.0018500000000001293,61.251179499068954,1061.251179499069
SELL,EURUSD,2018-01-05 18:00,2018-01-05 21:00,42450.047179962756,849.0009435992552,1.20462,1.2042700000000002,-0.00034999999999985043,12.337363309706804,1073.5885428087759
BUY,EURUSD,2018-01-11 13:00,2018-01-11 14:00,42943.541712351034,858.8708342470206,1.20052,1.2030399999999999,0.0025199999999998557,89.95355525595026,1163.5420980647261
SELL,EURUSD,2018-01-17 22:00,2018-01-17 23:00,46541.68392258905,930.833678451781,1.21832,1.21664,-0.0016800000000001258,64.2671858478724,1227.8092839125986
BUY,EURUSD,2018-01-18 14:00,2018-01-18 15:00,49112.37135650394,982.2474271300789,1.22498,1.22596,0.0009799999999999809,39.25913074600552,1267.068414658604
SELL,EURUSD,2018-01-22 06:00,2018-01-22 07:00,50682.73658634417,1013.6547317268834,1.22309,1.22165,-0.0014400000000001079,59.74144860176079,1326.8098632603649
BUY,EURUSD,2018-01-22 09:00,2018-01-22 10:00,53072.394530414604,1061.447890608292,1.22427,1.22494,0.0006699999999999484,29.02877229527573,1355.8386355556406
SELL,EURUSD,2018-01-29 12:00,2018-01-29 13:00,54233.54542222563,1084.6709084445126,1.23925,1.23854,-0.0007099999999999884,31.089684022946027,1386.9283195785868
BUY,EURUSD,2018-01-30 14:00,2018-01-30 16:00,55477.132783143476,1109.5426556628695,1.24462,1.24099,-0.003630000000000022,-162.27527377562433,1224.6530458029624
SELL,EURUSD,2018-02-05 07:00,2018-02-05 08:00,48986.1218321185,979.72243664237,1.24525,1.24415,-0.0010999999999998789,43.310480259875746,1267.9635260628381
BUY,EURUSD,2018-02-05 09:00,2018-02-05 12:00,50718.54104251353,1014.3708208502705,1.24633,1.24473,-0.0016000000000000458,-65.19459293824683,1202.7689331245913
BUY,EURUSD,2018-02-12 20:00,2018-02-12 21:00,48110.75732498366,962.2151464996731,1.22841,1.22905,0.0006399999999999739,25.052589144451634,1227.8215222690428
SELL,EURUSD,2018-02-18 22:00,2018-02-18 23:00,49112.860890761716,982.2572178152343,1.23997,1.24158,0.0016099999999998893,-63.68635612213545,1164.1351661469073
BUY,EURUSD,2018-02-26 09:00,2018-02-26 10:00,46565.4066458763,931.308132917526,1.232,1.23424,0.0022400000000000198,84.51071986547497,1248.6458860123823
SELL,EURUSD,2018-02-26 16:00,2018-02-26 18:00,49945.8354404953,998.916708809906,1.22895,1.23085,0.0019000000000000128,-77.09882385094991,1171.5470621614325
BUY,EURUSD,2018-02-26 21:00,2018-02-27 01:00,46861.8824864573,937.237649729146,1.2314100000000001,1.23315,0.0017399999999998528,66.12307953325127,1237.6701416946837
SELL,EURUSD,2018-02-27 15:00,2018-02-27 16:00,49506.805667787354,990.136113355747,1.22726,1.2239799999999998,-0.0032800000000001717,132.6674640029666,1370.3376056976504
BUY,EURUSD,2018-03-02 00:00,2018-03-02 04:00,54813.504227906014,1096.2700845581203,1.22719,1.22797,0.0007800000000000029,34.81724577780145,1405.1548514754518
SELL,EURUSD,2018-03-08 16:00,2018-03-08 17:00,56206.194059018075,1124.1238811803614,1.23275,1.23145,-0.0013000000000000789,59.33497281800148,1464.4898242934532
BUY,EURUSD,2018-03-13 01:00,2018-03-13 04:00,58579.59297173814,1171.5918594347627,1.23412,1.23317,-0.0009500000000000064,-45.1280953340996,1419.3617289593537
SELL,EURUSD,2018-03-15 12:00,2018-03-15 13:00,56774.46915837415,1135.489383167483,1.23475,1.23394,-0.0008099999999999774,37.26868406752498,1456.6304130268786
BUY,EURUSD,2018-03-19 19:00,2018-03-19 20:00,58265.21652107515,1165.304330421503,1.2359,1.23396,-0.0019400000000000528,-91.60306659120948,1365.0273464356692
SELL,EURUSD,2018-03-20 14:00,2018-03-20 17:00,54601.09385742677,1092.0218771485354,1.22699,1.2254399999999999,-0.0015500000000001624,69.06229230237332,1434.0896387380426
BUY,EURUSD,2018-03-21 20:00,2018-03-22 01:00,57363.585549521704,1147.271710990434,1.2346,1.23676,0.002160000000000162,100.18544001016862,1534.2750787482112
SELL,EURUSD,2018-03-28 12:00,2018-03-28 13:00,61371.003149928445,1227.420062998569,1.24031,1.23835,-0.0019599999999999618,97.13503143203248,1631.4101101802437
BUY,EURUSD,2018-04-08 21:00,2018-04-08 22:00,65256.40440720975,1305.128088144195,1.2289,1.22746,-0.0014400000000001079,-76.5558326514828,1554.8542775287608
SELL,EURUSD,2018-04-12 13:00,2018-04-12 14:00,62194.17110115044,1243.8834220230087,1.23153,1.23076,-0.0007699999999999374,38.910520124055004,1593.7647976528158
BUY,EURUSD,2018-04-16 08:00,2018-04-16 09:00,63750.59190611264,1275.0118381222528,1.2357200000000002,1.2363600000000001,0.0006399999999999739,33.00040345846713,1626.765201111283
SELL,EURUSD,2018-04-19 15:00,2018-04-19 16:00,65070.60804445132,1301.4121608890264,1.23641,1.23367,-0.0027399999999999647,144.5228189400685,1771.2880200513514
BUY,EURUSD,2018-05-10 14:00,2018-05-10 15:00,70851.52080205406,1417.0304160410813,1.1915200000000001,1.18793,-0.003590000000000204,-214.11780128407275,1557.1702187672786
SELL,EURUSD,2018-05-15 07:00,2018-05-15 08:00,62286.80875069115,1245.736175013823,1.19305,1.1924,-0.0006500000000000394,33.95372835286121,1591.1239471201397
BUY,EURUSD,2018-05-22 08:00,2018-05-22 09:00,63644.95788480559,1272.8991576961118,1.1817799999999998,1.18079,-0.0009899999999998244,-53.361315988402986,1537.7626311317367
SELL,EURUSD,2018-05-23 01:00,2018-05-23 02:00,61510.50524526947,1230.2101049053895,1.17821,1.17639,-0.0018199999999999328,95.16327029844379,1632.9259014301806
BUY,EURUSD,2018-05-30 17:00,2018-05-30 18:00,65317.036057207224,1306.3407211441445,1.16644,1.16509,-0.0013499999999999623,-75.68342246283747,1557.2424789673432
SELL,EURUSD,2018-06-05 15:00,2018-06-05 17:00,62289.69915869374,1245.7939831738747,1.16672,1.1716,0.0048799999999999955,-259.4518025729132,1297.79067639443
SELL,EURUSD,2018-06-12 00:00,2018-06-12 01:00,51911.62705577721,1038.232541115544,1.17724,1.17541,-0.0018299999999999983,80.82139637409261,1378.6120727685225
BUY,EURUSD,2018-06-12 13:00,2018-06-12 14:00,55144.482910740895,1102.889658214818,1.18011,1.1788,-0.0013099999999999223,-61.282043275421,1317.3300294931014
SELL,EURUSD,2018-06-12 16:00,2018-06-12 17:00,52693.201179724056,1053.864023594481,1.179,1.17739,-0.0016100000000001113,72.05433535138025,1389.3843648444818
BUY,EURUSD,2018-06-13 20:00,2018-06-13 23:00,55575.37459377927,1111.5074918755854,1.1791,1.17983,0.0007299999999998974,34.38632977077474,1423.7706946152564
SELL,EURUSD,2018-06-14 13:00,2018-06-14 14:00,56950.82778461026,1139.0165556922052,1.16876,1.16531,-0.003449999999999953,168.6078003766403,1592.3784949918968
BUY,EURUSD,2018-06-21 18:00,2018-06-21 19:00,63695.139799675875,1273.9027959935174,1.16157,1.16222,0.0006500000000000394,35.623066949279675,1628.0015619411765
SELL,EURUSD,2018-06-26 22:00,2018-06-27 01:00,65120.06247764707,1302.4012495529414,1.16455,1.16547,0.0009200000000000319,-51.40454707494605,1576.5970148662304
BUY,EURUSD,2018-06-29 07:00,2018-06-29 08:00,63063.88059464922,1261.2776118929844,1.16344,1.16218,-0.0012600000000000389,-68.37192994997372,1508.2250849162567
SELL,EURUSD,2018-07-02 17:00,2018-07-02 18:00,60329.003396650274,1206.5800679330055,1.15998,1.16089,0.0009099999999999664,-47.29077956649616,1460.9343053497605
BUY,EURUSD,2018-07-02 23:00,2018-07-03 02:00,58437.37221399042,1168.7474442798084,1.16405,1.16304,-0.0010099999999999554,-50.74782117221051,1410.18648417755
SELL,EURUSD,2018-07-10 12:00,2018-07-10 13:00,56407.459367102,1128.14918734204,1.17042,1.17173,0.0013099999999999223,-63.06382167470257,1347.1226625028476
BUY,EURUSD,2018-07-10 20:00,2018-07-10 22:00,53884.9065001139,1077.698130002278,1.17472,1.17377,-0.0009500000000000064,-43.61217374367087,1303.5104887591767
SELL,EURUSD,2018-07-10 23:00,2018-07-11 00:00,52140.41955036707,1042.8083910073415,1.1734799999999999,1.1729,-0.0005799999999998029,25.783479699209327,1329.293968458386
BUY,EURUSD,2018-07-16 05:00,2018-07-16 06:00,53171.75873833544,1063.4351747667088,1.16867,1.17014,0.0014699999999998603,66.79755016095994,1396.0915186193458
SELL,EURUSD,2018-07-17 17:00,2018-07-17 18:00,55843.66074477383,1116.8732148954766,1.16531,1.16657,0.0012600000000000389,-60.31615122831651,1335.7753673910292
BUY,EURUSD,2018-07-20 09:00,2018-07-20 10:00,53431.01469564117,1068.6202939128234,1.16421,1.1655,0.0012900000000000134,59.138574824005,1394.9139422150342
SELL,EURUSD,2018-07-24 06:00,2018-07-24 07:00,55796.55768860137,1115.9311537720275,1.16839,1.16609,-0.0022999999999999687,110.05332580142304,1504.9672680164572
SELL,EURUSD,2018-07-24 08:00,2018-07-24 09:00,60198.69072065829,1203.9738144131659,1.16959,1.16855,-0.0010399999999999299,53.57634534207386,1558.543613358531
BUY,EURUSD,2018-07-24 10:00,2018-07-24 11:00,62341.744534341255,1246.834890686825,1.16924,1.17124,0.0020000000000000018,106.4542613543617,1664.9978747128928
SELL,EURUSD,2018-07-24 18:00,2018-07-25 07:00,66599.91498851572,1331.9982997703146,1.16805,1.16994,0.0018899999999999473,-107.58999549403492,1557.407879218858
BUY,EURUSD,2018-07-25 12:00,2018-07-25 15:00,62296.31516875432,1245.9263033750865,1.16957,1.16741,-0.0021599999999999397,-115.26373833058273,1442.1441408882752
BUY,EURUSD,2018-07-25 19:00,2018-07-25 20:00,57685.765635531,1153.71531271062,1.17018,1.17305,0.002869999999999928,141.13477462509684,1583.2789155133719
SELL,EURUSD,2018-07-26 15:00,2018-07-26 16:00,63331.15662053488,1266.6231324106975,1.16584,1.16551,-0.00032999999999994145,17.931447765161003,1601.210363278533
BUY,EURUSD,2018-07-30 12:00,2018-07-30 13:00,64048.414531141316,1280.9682906228263,1.16824,1.16944,0.0012000000000000899,65.72213832037158,1666.9325015989045
SELL,EURUSD,2018-08-01 05:00,2018-08-01 08:00,66677.30006395618,1333.5460012791236,1.16773,1.16877,0.001040000000000152,-59.33108487257934,1607.6014167263252
BUY,EURUSD,2018-08-07 13:00,2018-08-07 15:00,64304.05666905301,1286.0811333810602,1.16045,1.15913,-0.0013199999999999878,-73.22850310418089,1534.3729136221443
SELL,EURUSD,2018-08-09 15:00,2018-08-09 16:00,61374.916544885775,1227.4983308977155,1.1573,1.15659,-0.0007099999999999884,37.67643741245229,1572.0493510345966
BUY,EURUSD,2018-08-16 13:00,2018-08-16 14:00,62881.974041383866,1257.6394808276773,1.13658,1.14005,0.003470000000000084,191.39550890189668,1763.4448599364932
SELL,EURUSD,2018-08-24 01:00,2018-08-24 03:00,70537.79439745973,1410.7558879491946,1.15473,1.1556899999999999,0.0009599999999998499,-58.593812027058085,1704.8510479094352
BUY,EURUSD,2018-08-24 04:00,2018-08-24 05:00,68194.0419163774,1363.8808383275482,1.15551,1.1562700000000001,0.0007600000000000939,44.82298412693682,1749.674032036372
SELL,EURUSD,2018-08-30 16:00,2018-08-30 17:00,69986.96128145489,1399.7392256290977,1.16459,1.1658899999999999,0.0012999999999998568,-78.03742176867573,1671.6366102676961
BUY,EURUSD,2018-09-05 17:00,2018-09-05 20:00,66865.46441070785,1337.309288214157,1.16215,1.16306,0.0009099999999999664,52.316795877892716,1723.9534061455888
SELL,EURUSD,2018-09-07 13:00,2018-09-07 14:00,68958.13624582357,1379.1627249164712,1.15665,1.15788,0.0012300000000000644,-73.25327977196896,1650.70012637362
BUY,EURUSD,2018-09-11 05:00,2018-09-11 06:00,66028.0050549448,1320.5601010988962,1.16021,1.1612,0.0009900000000000464,56.29325267343991,1706.9933790470598
SELL,EURUSD,2018-09-11 16:00,2018-09-11 19:00,68279.7351618824,1365.594703237648,1.15901,1.15862,-0.0003900000000001125,22.98346024852136,1729.9768392955812
BUY,EURUSD,2018-09-11 20:00,2018-09-11 21:00,69199.07357182325,1383.981471436465,1.15919,1.16032,0.0011300000000000754,67.39085177896226,1797.3676910745435
SELL,EURUSD,2018-09-12 04:00,2018-09-12 07:00,71894.70764298174,1437.8941528596347,1.15847,1.15716,-0.0013100000000001444,81.39070397552324,1878.7583950500666
BUY,EURUSD,2018-09-12 14:00,2018-09-12 15:00,75150.33580200266,1503.0067160400533,1.15982,1.1623700000000001,0.0025500000000000522,164.8643343299558,2043.6227293800225
SELL,EURUSD,2018-09-16 23:00,2018-09-17 03:00,81744.90917520091,1634.8981835040183,1.16251,1.16364,0.0011300000000000754,-79.38172232647828,1964.2410070535443
BUY,EURUSD,2018-09-17 12:00,2018-09-17 13:00,78569.64028214177,1571.3928056428354,1.16658,1.16836,0.0017800000000001148,119.70108502706475,2083.942092080609
SELL,EURUSD,2018-09-26 13:00,2018-09-26 14:00,83357.68368322437,1667.1536736644875,1.1739700000000002,1.17353,-0.000440000000000218,31.253892802601463,2115.1959848832107
BUY,EURUSD,2018-10-08 00:00,2018-10-08 03:00,84607.83939532844,1692.1567879065688,1.1525,1.15155,-0.0009500000000000064,-69.79935515224051,2045.3966297309703
BUY,EURUSD,2018-10-10 02:00,2018-10-10 07:00,81815.86518923882,1636.3173037847764,1.15133,1.15045,-0.0008799999999999919,-62.58243414883697,1982.8141955821334
SELL,EURUSD,2018-10-15 04:00,2018-10-15 07:00,79312.56782328534,1586.2513564657067,1.15468,1.15651,0.0018299999999999983,-125.4999949128084,1857.314200669325
SELL,EURUSD,2018-10-17 04:00,2018-10-17 06:00,74292.568026773,1485.8513605354601,1.1560700000000002,1.1555,-0.0005700000000001815,36.64799980551631,1893.9622004748412
BUY,EURUSD,2018-10-22 00:00,2018-10-22 07:00,75758.48801899365,1515.169760379873,1.15114,1.15421,0.003069999999999906,201.504542690068,2095.466743164909
SELL,EURUSD,2018-10-22 14:00,2018-10-22 15:00,83818.66972659636,1676.3733945319273,1.14794,1.14713,-0.0008099999999999774,59.18520348917835,2154.6519466540876
BUY,EURUSD,2018-11-01 11:00,2018-11-01 12:00,86186.07786616351,1723.7215573232702,1.13724,1.1393799999999998,0.0021399999999998087,161.8759383467969,2316.5278850008845
SELL,EURUSD,2018-11-05 11:00,2018-11-05 12:00,92661.11540003539,1853.2223080007077,1.13828,1.13727,-0.0010099999999999554,82.29156361640736,2398.819448617292
BUY,EURUSD,2018-11-05 17:00,2018-11-05 19:00,95952.77794469168,1919.0555588938337,1.1393,1.1421,0.0027999999999999137,235.24015256556206,2634.059601182854
SELL,EURUSD,2018-11-08 11:00,2018-11-08 12:00,105362.38404731416,2107.2476809462833,1.14195,1.14116,-0.0007900000000000684,72.94006396770428,2706.999665150558
BUY,EURUSD,2018-11-14 06:00,2018-11-14 07:00,108279.98660602231,2165.5997321204463,1.12907,1.1296,0.0005299999999999194,50.80417218589156,2757.8038373364498
SELL,EURUSD,2018-11-14 09:00,2018-11-14 10:00,110312.153493458,2206.24306986916,1.12818,1.1271,-0.0010799999999999699,105.7023562886446,2863.5061936250945
BUY,EURUSD,2018-11-14 14:00,2018-11-14 15:00,114540.24774500378,2290.8049549000757,1.12855,1.13326,0.004709999999999992,476.04659732009156,3339.552790945186
SELL,EURUSD,2018-11-20 20:00,2018-11-21 05:00,133582.11163780745,2671.642232756149,1.13665,1.13781,0.0011600000000000499,-136.18728038940006,3203.365510555786
BUY,EURUSD,2018-11-22 10:00,2018-11-22 11:00,128134.62042223146,2562.692408444629,1.14044,1.14144,0.001000000000000112,112.25699153897341,3315.6225020947595
SELL,EURUSD,2018-11-23 10:00,2018-11-23 11:00,132624.9000837904,2652.4980016758077,1.13737,1.135,-0.0023699999999999832,276.93481339082024,3592.5573154855797
BUY,EURUSD,2018-11-28 21:00,2018-11-29 03:00,143702.2926194232,2874.0458523884645,1.13703,1.13733,0.00029999999999996696,37.90517069436506,3630.462486179945
SELL,EURUSD,2018-11-30 17:00,2018-11-30 18:00,145218.4994471978,2904.369988943956,1.13206,1.1315899999999999,-0.0004700000000001925,60.31574575615809,3690.7782319361027
BUY,EURUSD,2018-12-04 02:00,2018-12-04 05:00,147631.12927744412,2952.6225855488824,1.13669,1.1376899999999999,0.0009999999999998899,129.7639333011874,3820.54216523729
SELL,EURUSD,2018-12-04 22:00,2018-12-05 02:00,152821.68660949162,3056.4337321898324,1.13401,1.1336600000000001,-0.00034999999999985043,47.18133330389994,3867.72349854119
BUY,EURUSD,2018-12-06 14:00,2018-12-06 15:00,154708.93994164764,3094.178798832953,1.1361,1.1394799999999998,0.0033799999999997166,458.90776231502554,4326.631260856216
SELL,EURUSD,2018-12-10 21:00,2018-12-11 02:00,173065.25043424862,3461.3050086849726,1.13544,1.13632,0.0008799999999999919,-134.02687656834112,4192.604384287874
BUY,EURUSD,2018-12-12 22:00,2018-12-13 08:00,167704.17537151498,3354.0835074302995,1.13705,1.1381700000000001,0.001120000000000232,165.0269084724915,4357.631292760366
SELL,EURUSD,2018-12-14 07:00,2018-12-14 09:00,174305.25171041462,3486.1050342082926,1.13487,1.1292200000000001,-0.005649999999999933,872.1282585889647,5229.759551349331
BUY,EURUSD,2018-12-17 18:00,2018-12-17 19:00,209190.38205397324,4183.807641079465,1.13515,1.13544,0.00028999999999990145,53.42881243890618,5283.1883637882365
SELL,EURUSD,2018-12-21 18:00,2018-12-21 19:00,211327.53455152948,4226.550691030589,1.1385399999999999,1.13655,-0.0019899999999999363,370.0160958669044,5653.20445965514
BUY,EURUSD,2018-12-27 17:00,2018-12-27 18:00,226128.17838620563,4522.5635677241125,1.1413,1.1435600000000001,0.0022600000000001508,446.8936331743492,6100.098092829489
SELL,EURUSD,2019-01-02 13:00,2019-01-02 14:00,244003.92371317957,4880.0784742635915,1.1404,1.13727,-0.003130000000000077,671.5487801685359,6771.646872998025
